Date,Income,Expense,Category,Where,Payment Method,Measurement,Column
26-Apr-21,,61,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย, เข้าเย็น",11-Jul,Cash,Primary,
27-Apr-21,,101,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย, เข้าเย็น",11-Jul,Cash,Primary,
28-Apr-21,,19,"รายจ่าย, เครื่องดื่ม",ร้านค้า,Cash,Primary,
28-May-21,,60,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย",11-Jul,Cash,Primary,
29-Apr-21,,50,"รายจ่าย, เข้าเย็น",ร้านค้า,Cash,Primary,
30-Apr-21,,95,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย, เข้าเย็น",Online,Cash,Primary,
1-May-21,3000,,เป็นหนี้กยศ,Online,Bank,Primary,
1-May-21,,100,"ข้าว, ข้าวเช้า, ข้าวเที่ยง, รายจ่าย, เข้าเย็น",Online,Bank,Primary,
1-May-21,,192,"คอมพิวเตอร์, รายจ่าย",Online,Bank,Secondary,
1-May-21,,990,"คอมพิวเตอร์, ค่าเกี่ยวเนื่องการศึกษา, รายจ่าย",Online,Bank,Primary,
1-May-21,,318,"คอมพิวเตอร์, รายจ่าย",Online,Wallet,Tertiary,
2-May-21,,113,"ขนม, ข้าวเช้า, ข้าวเที่ยง, รายจ่าย, เข้าเย็น, เครื่องดื่ม",11-Jul,Wallet,Primary,
2-May-21,3922,,รายรับ,Online,Cryptocurrency,Tertiary,
2-May-21,,852,"ดนตรี, รายจ่าย",Online,Bank,Secondary,
3-May-21,,37,"ข้าวเช้า, น้ำ, รายจ่าย",11-Jul,Cash,Primary,
3-May-21,,110,"ค่ารถ, รายจ่าย",NONE,Cash,Primary,
3-May-21,,620,"คอมพิวเตอร์, รายจ่าย",Online,Bank,Primary,
3-May-21,50,,รายรับ,TESCOLOTUS,Cash,Primary,
3-May-21,,50,"ข้าวเที่ยง, รายจ่าย",TESCOLOTUS,Wallet,Primary,
3-May-21,,35,"ค่าเน็ต, รายจ่าย",Online,Wallet,Primary,
4-May-21,,15,"รายจ่าย, เครื่องใช้",ร้านค้า,Cash,Secondary,
5-May-21,,595,"ค่าเช่าหอพัก, รายจ่าย",Online,Bank,Primary,
6-May-21,,20,รายจ่าย,Online,Wallet,Tertiary,
6-May-21,,1884,"ค่าเน็ต, รายจ่าย",Online,Bank,Secondary,
7-May-21,,915,ลงทุน,Online,Bank,Secondary,
11-May-21,,200,ลงทุน,Online,Bank,Secondary,
12-May-21,,30,ของกิน,NONE,Cash,Primary,
12-May-21,400,,รายรับ,Online,Bank,Tertiary,
14-May-21,,400,ลงทุน,Online,Bank,Tertiary,
18-May-21,972,,"รายรับ, ลงทุน",Online,Cryptocurrency,Tertiary,
20-May-21,342,,"รายรับ, ลงทุน",Online,Cryptocurrency,Tertiary,
25-May-21,,852,,Online,Bank,Tertiary,
