วันที่,รายรับ,รายจ่าย,ชนิด,สถานที่,วิธีการชำระเงิน,เกณฑ์
5-Jan-21,,35,"ข้าว, ข้าวเที่ยง, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
5-Jan-21,,19,"ข้าว, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
5-Jan-21,,7,"น้ำ, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
5-Jan-21,,150,"รายจ่าย, เติมเงิน",Seven-Eleven,เงินสด,ปฐมภูมิ
6-Jan-21,,20,"ข้าว, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
6-Jan-21,,30,"ผลไม้, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
6-Jan-21,,20,"ของกิน, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
6-Jan-21,,18,"ขนม, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
6-Jan-21,,26,"นม, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
6-Jan-21,,25,"ขนม, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
6-Jan-21,,35,"นม, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
7-Jan-21,,30,"ข้าว, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
7-Jan-21,,35,"รายจ่าย, ไข่ไก่",ตลาด,เงินสด,ปฐมภูมิ
7-Jan-21,,20,"น้ำผลไม้, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
7-Jan-21,,20,"ซักผ้า, รายจ่าย",ตลาด,เงินสด,ทุติยภูมิ
8-Jan-21,,35,"ข้าว, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
8-Jan-21,,34,"รายจ่าย, เครื่องอุปโภค",Seven-Eleven,เงินสด,ปฐมภูมิ
8-Jan-21,,30,"นม, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
9-Jan-21,,20,"ข้าว, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
9-Jan-21,,30,"ของกิน, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
10-Jan-21,,90,"ค่ารถ, รายจ่าย",ไม่ระบุ,เงินสด,ปฐมภูมิ
10-Jan-21,,40,"ขนม, รายจ่าย",ร้านค้า,เงินสด,ปฐมภูมิ
11-Jan-21,,200,"รายจ่าย, เติมเงิน",ร้านค้า,เงินสด,ทุติยภูมิ
18-Jan-21,,40,"ขนม, รายจ่าย",ร้านค้า,เงินสด,ปฐมภูมิ
22-Jan-21,,484,"รายจ่าย, เครื่องอุปโภค",ออนไลน์,เน็ตแบงค์,ทุติยภูมิ
31-Jan-21,,51,"รายจ่าย, เครื่องอุปโภค",ออนไลน์,เงินสด,ทุติยภูมิ
31-Jan-21,,193,"ของกิน, รายจ่าย",ออนไลน์,เงินสด,ปฐมภูมิ
31-Jan-21,,90,"ค่ารถ, รายจ่าย",ไม่ระบุ,เงินสด,ปฐมภูมิ
31-Jan-21,,50,"รายจ่าย, เติมเงิน",ออนไลน์,เงินสด,ทุติยภูมิ
31-Jan-21,3500,,รายรับ,ที่บ้าน,เงินสด,ปฐมภูมิ
31-Jan-21,,50,"ค่ารถ, รายจ่าย",ไม่ระบุ,เงินสด,ปฐมภูมิ
1-Feb-21,6000,,เป็นหนี้,ออนไลน์,เน็ตแบงค์,ปฐมภูมิ
1-Feb-21,,2800,"ค่าเช่าหอพัก, รายจ่าย",ที่พัก,เงินสด,ปฐมภูมิ
1-Feb-21,2939,,รายรับ,ออนไลน์,เน็ตแบงค์,ตติยภูมิ
1-Feb-21,,20,"ค่าน้ำ, รายจ่าย",ที่พัก,เงินสด,ปฐมภูมิ
1-Feb-21,,20,"ค่าไฟ, รายจ่าย",ที่พัก,เงินสด,ปฐมภูมิ
1-Feb-21,,991,"รายจ่าย, เครื่องอุปโภค",ออนไลน์,เงินสด,ตติยภูมิ
1-Feb-21,,20,"ดนตรี, รายจ่าย",ออนไลน์,เน็ตแบงค์,ตติยภูมิ
1-Feb-21,,20,"ข้าว, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
1-Feb-21,,65,"ของกิน, รายจ่าย",ร้านค้า,เงินสด,ปฐมภูมิ
1-Feb-21,,40,"น้ำผลไม้, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
1-Feb-21,,14,"รายจ่าย, เครื่องครัว",ตลาด,เงินสด,ปฐมภูมิ
2-Feb-21,,32,"ข้าว, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
2-Feb-21,100,,รายรับ,ออนไลน์,เน็ตแบงค์,ตติยภูมิ
2-Feb-21,,37,"ค่าเกี่ยวเนื่องการศึกษา, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
3-Feb-21,,37,"ข้าวเช้า, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
3-Feb-21,,40,"ข้าวเที่ยง, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
3-Feb-21,,116,"รายจ่าย, วัตถุดิบ, เครื่องครัว",LOTUS,เงินสด,ปฐมภูมิ
3-Feb-21,,40,"รายจ่าย, วัตถุดิบ",ตลาด,เงินสด,ปฐมภูมิ
3-Feb-21,,10,"รายจ่าย, วัตถุดิบ",ตลาด,เงินสด,ปฐมภูมิ
3-Feb-21,,50,"ค่าเกี่ยวเนื่องการศึกษา, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
3-Feb-21,,20,"น้ำ, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
4-Feb-21,,40,"ข้าว, ข้าวเที่ยง, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
4-Feb-21,,10,"รายจ่าย, เครื่องครัว",Seven-Eleven,เงินสด,ปฐมภูมิ
4-Feb-21,,36,"รายจ่าย, เครื่องอุปโภค",Seven-Eleven,เงินสด,ปฐมภูมิ
5-Feb-21,,100,ลงทุน,ออนไลน์,เน็ตแบงค์,ทุติยภูมิ
6-Feb-21,,48,"รายจ่าย, เครื่องครัว",LOTUS,เงินสด,ปฐมภูมิ
6-Feb-21,,45,"รายจ่าย, ไข่ไก่",LOTUS,เงินสด,ปฐมภูมิ
6-Feb-21,,45,"รายจ่าย, วัตถุดิบ",LOTUS,เงินสด,ปฐมภูมิ
7-Feb-21,,14,"น้ำ, รายจ่าย",ที่พัก,เงินสด,ปฐมภูมิ
7-Feb-21,,20,"ข้าว, ข้าวเย็น, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
8-Feb-21,,16,"ยา, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
8-Feb-21,,47,"ข้าว, ข้าวเที่ยง, ข้าวเย็น, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
8-Feb-21,,9,"น้ำ, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
8-Feb-21,,29,"รายจ่าย, เครื่องอุปโภค",Seven-Eleven,เงินสด,ปฐมภูมิ
8-Feb-21,,30,"ผลไม้, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
8-Feb-21,,10,"ข้าว, ข้าวเย็น, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
9-Feb-21,,35,"ข้าว, ข้าวเที่ยง, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
9-Feb-21,,7,"น้ำ, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
9-Feb-21,,19,"ขนม, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
9-Feb-21,,35,"ข้าว, ข้าวเย็น, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
10-Feb-21,,35,รายจ่าย,ร้านข้าว,เงินสด,ปฐมภูมิ
10-Feb-21,,55,รายจ่าย,ร้านค้า,เงินสด,ตติยภูมิ
10-Feb-21,,63,รายจ่าย,มหาวิทยาลัย,เน็ตแบงค์,ปฐมภูมิ
10-Feb-21,,10,รายจ่าย,ตลาด,เงินสด,ปฐมภูมิ
10-Feb-21,,20,รายจ่าย,ตลาด,เงินสด,ปฐมภูมิ
10-Feb-21,,30,รายจ่าย,ตลาด,เงินสด,ทุติยภูมิ
11-Feb-21,,19,รายจ่าย,Seven-Eleven,เงินสด,ปฐมภูมิ
11-Feb-21,,7,รายจ่าย,Seven-Eleven,เงินสด,ปฐมภูมิ
11-Feb-21,,20,รายจ่าย,Seven-Eleven,เงินสด,ปฐมภูมิ
11-Feb-21,30,,รายรับ,มหาวิทยาลัย,เงินสด,ตติยภูมิ
12-Feb-21,,5,"ข้าว, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
12-Feb-21,,20,"ข้าว, ข้าวเย็น, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
12-Feb-21,,35,"ของกิน, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
12-Feb-21,,20,"รายจ่าย, เครื่องอุปโภค",ตลาด,เงินสด,ปฐมภูมิ
12-Feb-21,,15,"น้ำ, รายจ่าย",ที่พัก,เงินสด,ปฐมภูมิ
13-Feb-21,,30,"ผลไม้, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
13-Feb-21,,5,"ข้าว, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
13-Feb-21,,20,"ข้าว, ข้าวเย็น, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
13-Feb-21,,35,"ของกิน, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
14-Feb-21,,40,"ข้าว, ข้าวเที่ยง, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
15-Feb-21,,20,"ข้าวเช้า, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
15-Feb-21,,35,"ข้าว, ข้าวเที่ยง, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
15-Feb-21,,25,"ข้าว, ข้าวเย็น, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
15-Feb-21,,35,รายจ่าย,ตลาด,เงินสด,ปฐมภูมิ
16-Feb-21,,30,"ข้าว, ข้าวเที่ยง, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
16-Feb-21,,10,"ของกิน, รายจ่าย",ไม่ระบุ,เงินสด,ปฐมภูมิ
16-Feb-21,,32,"ข้าว, ข้าวเย็น, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
16-Feb-21,,65,"ข้าว, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
16-Feb-21,,100,"ตัดผม, รายจ่าย",ไม่ระบุ,เงินสด,ทุติยภูมิ
16-Feb-21,,421,"ค่าเกี่ยวเนื่องการศึกษา, รายจ่าย",ออนไลน์,เน็ตแบงค์,ตติยภูมิ
16-Feb-21,,280,"ค่าเกี่ยวเนื่องการศึกษา, รายจ่าย",ออนไลน์,เน็ตแบงค์,ตติยภูมิ
16-Feb-21,,310,"ค่าเกี่ยวเนื่องการศึกษา, รายจ่าย",ออนไลน์,เน็ตแบงค์,ตติยภูมิ
17-Feb-21,,90,"ผลไม้, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
17-Feb-21,,20,"ข้าว, ข้าวเย็น, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
18-Feb-21,,40,"ข้าวเที่ยง, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
18-Feb-21,,89,"รายจ่าย, เครื่องอุปโภค",LOTUS,เงินสด,ทุติยภูมิ
18-Feb-21,,15,"ของกิน, รายจ่าย",LOTUS,เงินสด,ปฐมภูมิ
18-Feb-21,,10,"รายจ่าย, เครื่องครัว",LOTUS,เงินสด,ปฐมภูมิ
19-Feb-21,,30,"ของกิน, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
19-Feb-21,,20,"ของกิน, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
19-Feb-21,,15,"ข้าว, ข้าวเย็น, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
20-Feb-21,,70,"ข้าว, ข้าวเช้า, ข้าวเที่ยง, น้ำ, รายจ่าย",ออนไลน์,Wallet,ปฐมภูมิ
20-Feb-21,,20,"ข้าวเย็น, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
20-Feb-21,,35,"ของกิน, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
21-Feb-21,,299,"ค่าซิม, ค่าเน็ต, รายจ่าย",ออนไลน์,เน็ตแบงค์,ตติยภูมิ
22-Feb-21,,55,"ข้าว, ข้าวเช้า, รายจ่าย",Seven-Eleven,Wallet,ปฐมภูมิ
22-Feb-21,,45,"ข้าว, ข้าวเที่ยง, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
22-Feb-21,,15,"ข้าว, รายจ่าย",LOTUS,เงินสด,ปฐมภูมิ
23-Feb-21,,35,"ข้าว, ข้าวเที่ยง, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
23-Feb-21,,39,รายจ่าย,Seven-Eleven,เงินสด,ปฐมภูมิ
23-Feb-21,,15,"รายจ่าย, เครื่องดื่ม",Seven-Eleven,เงินสด,ปฐมภูมิ
23-Feb-21,,7,"น้ำ, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
23-Feb-21,,40,"ข้าว, ข้าวเย็น, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
23-Feb-21,,5,รายจ่าย,Seven-Eleven,เงินสด,ปฐมภูมิ
24-Feb-21,,10,รายจ่าย,Seven-Eleven,เงินสด,ปฐมภูมิ
24-Feb-21,,35,รายจ่าย,Seven-Eleven,เงินสด,ปฐมภูมิ
24-Feb-21,,19,รายจ่าย,Seven-Eleven,เงินสด,ปฐมภูมิ
24-Feb-21,,15,รายจ่าย,Seven-Eleven,เงินสด,ปฐมภูมิ
25-Feb-21,,85,"ข้าวเช้า, รายจ่าย, เครื่องดื่ม",ออนไลน์,เงินสด,ปฐมภูมิ
25-Feb-21,,27,"นม, รายจ่าย",ร้านค้า,เงินสด,ปฐมภูมิ
25-Feb-21,,22,"ข้าว, รายจ่าย",ร้านค้า,เงินสด,ปฐมภูมิ
25-Feb-21,,20,"รายจ่าย, เครื่องอุปโภค",ร้านค้า,เงินสด,ปฐมภูมิ
25-Feb-21,,30,"ของกิน, รายจ่าย",ร้านค้า,เงินสด,ปฐมภูมิ
25-Feb-21,,10,"รายจ่าย, เครื่องครัว",ร้านค้า,เงินสด,ปฐมภูมิ
26-Feb-21,,20,"ซักผ้า, รายจ่าย",ที่พัก,เงินสด,ปฐมภูมิ
26-Feb-21,,55,"ข้าวเช้า, รายจ่าย",ออนไลน์,เงินสด,ปฐมภูมิ
26-Feb-21,,40,"รายจ่าย, เครื่องดื่ม",ออนไลน์,เงินสด,ปฐมภูมิ
26-Feb-21,30000,,รายรับ,ออนไลน์,เน็ตแบงค์,ตติยภูมิ
26-Feb-21,,29560,"คอมพิวเตอร์, รายจ่าย",ไม่ระบุ,เน็ตแบงค์,ตติยภูมิ
26-Feb-21,,3595,"คอมพิวเตอร์, รายจ่าย",ไม่ระบุ,เน็ตแบงค์,ตติยภูมิ
26-Feb-21,,20,"ข้าว, ข้าวเย็น, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
26-Feb-21,,35,"รายจ่าย, ไข่ไก่",ตลาด,เงินสด,ปฐมภูมิ
27-Feb-21,,110,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย, เครื่องดื่ม",ออนไลน์,Wallet,ปฐมภูมิ
27-Feb-21,2829,,รายรับ,ออนไลน์,เน็ตแบงค์,ตติยภูมิ
27-Feb-21,,3595,รายจ่าย,ออนไลน์,เน็ตแบงค์,ตติยภูมิ
28-Feb-21,,120,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย",ออนไลน์,Wallet,ปฐมภูมิ
1-Mar-21,3000,,รายรับ,ออนไลน์,เน็ตแบงค์,ปฐมภูมิ
1-Mar-21,3000,,รายรับ,ออนไลน์,เน็ตแบงค์,ปฐมภูมิ
1-Mar-21,,7,"น้ำ, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
1-Mar-21,,20,"ของกิน, ข้าว, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
1-Mar-21,,50,"ข้าว, ข้าวเย็น, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
1-Mar-21,,239,"คอมพิวเตอร์, รายจ่าย",ออนไลน์,เน็ตแบงค์,ตติยภูมิ
1-Mar-21,,765,"คอมพิวเตอร์, รายจ่าย",ออนไลน์,Wallet,ตติยภูมิ
2-Mar-21,,50,"ข้าวเย็น, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
3-Mar-21,,99,"ข้าวเย็น, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
3-Mar-21,,20,"ข้าวเที่ยง, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
4-Mar-21,,55,"ข้าวเย็น, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
4-Mar-21,,40,"ข้าวเที่ยง, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
4-Mar-21,,104,"รายจ่าย, เครื่องใช้",ร้านค้า,เงินสด,ตติยภูมิ
4-Mar-21,,14,รายจ่าย,ร้านค้า,เงินสด,ตติยภูมิ
4-Mar-21,,60,"รายจ่าย, เครื่องใช้",ร้านค้า,เงินสด,ตติยภูมิ
4-Mar-21,,15,"ค่าเกี่ยวเนื่องการศึกษา, รายจ่าย",ร้านค้า,เงินสด,ตติยภูมิ
4-Mar-21,,20,"ข้าว, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
4-Mar-21,,30,"ผลไม้, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
5-Mar-21,,54,"ข้าวเช้า, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
5-Mar-21,,9,"น้ำ, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
5-Mar-21,,25,"รายจ่าย, เครื่องครัว",LOTUS,เงินสด,ปฐมภูมิ
5-Mar-21,,25,"รายจ่าย, เครื่องครัว",LOTUS,เงินสด,ปฐมภูมิ
5-Mar-21,,13,"รายจ่าย, เครื่องครัว",LOTUS,เงินสด,ปฐมภูมิ
5-Mar-21,,2655,รายจ่าย,ที่พัก,เน็ตแบงค์,ปฐมภูมิ
5-Mar-21,,40,"นม, รายจ่าย",LOTUS,เงินสด,ปฐมภูมิ
6-Mar-21,,27,"ข้าว, รายจ่าย",Seven-Eleven,Wallet,
6-Mar-21,,7,"น้ำ, รายจ่าย",Seven-Eleven,Wallet,ปฐมภูมิ
6-Mar-21,,10,"ขนม, รายจ่าย",Seven-Eleven,Wallet,ปฐมภูมิ
6-Mar-21,,27,"ข้าว, รายจ่าย",Seven-Eleven,Wallet,ปฐมภูมิ
6-Mar-21,,15,"รายจ่าย, เครื่องดื่ม",Seven-Eleven,Wallet,ปฐมภูมิ
6-Mar-21,,54,"รายจ่าย, เครื่องอุปโภค",Seven-Eleven,Wallet,ทุติยภูมิ
6-Mar-21,,13,"นม, รายจ่าย",Seven-Eleven,Wallet,ปฐมภูมิ
6-Mar-21,,45,"ข้าว, รายจ่าย",Seven-Eleven,Wallet,ปฐมภูมิ
6-Mar-21,,360,"รายจ่าย, สิ่งบันเทิง",ออนไลน์,เน็ตแบงค์,ตติยภูมิ
7-Mar-21,,9,"น้ำ, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
7-Mar-21,,25,รายจ่าย,Seven-Eleven,เงินสด,ปฐมภูมิ
8-Mar-21,,100,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย",ออนไลน์,Wallet,ปฐมภูมิ
9-Mar-21,,34,"ข้าวเช้า, น้ำ, เครื่องดื่ม",Seven-Eleven,Wallet,ปฐมภูมิ
10-Mar-21,,54,"ข้าวเช้า, น้ำ",Seven-Eleven,Wallet,ปฐมภูมิ
10-Mar-21,,20,"ข้าว, รายจ่าย",LOTUS,เงินสด,ปฐมภูมิ
10-Mar-21,,29,"รายจ่าย, เครื่องอุปโภค",LOTUS,เงินสด,ตติยภูมิ
10-Mar-21,,10,"รายจ่าย, เครื่องดื่ม",LOTUS,เงินสด,ปฐมภูมิ
11-Mar-21,,63,"ข้าว, ข้าวเช้า, ข้าวเที่ยง, รายจ่าย",Seven-Eleven,Wallet,ปฐมภูมิ
11-Mar-21,,90,"ค่ารถ, รายจ่าย",ที่บ้าน,เงินสด,ปฐมภูมิ
12-Mar-21,,20,"ผลไม้, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
13-Mar-21,,100,"ของกิน, รายจ่าย",ร้านค้า,เงินสด,ปฐมภูมิ
13-Mar-21,3000,,รายรับ,ออนไลน์,เน็ตแบงค์,ตติยภูมิ
14-Mar-21,,90,"ค่ารถ, รายจ่าย",ไม่ระบุ,เงินสด,ปฐมภูมิ
14-Mar-21,,257,"คอมพิวเตอร์, รายจ่าย",ออนไลน์,เน็ตแบงค์,ตติยภูมิ
14-Mar-21,,852,"ดนตรี, รายจ่าย",ออนไลน์,เน็ตแบงค์,ตติยภูมิ
14-Mar-21,,60,"ค่ารถ, รายจ่าย",ไม่ระบุ,เงินสด,ทุติยภูมิ
14-Mar-21,,130,"ข้าว, รายจ่าย",ออนไลน์,Wallet,ปฐมภูมิ
14-Mar-21,,2290,"ค่าเกี่ยวเนื่องการศึกษา, รายจ่าย",ออนไลน์,เน็ตแบงค์,ปฐมภูมิ
14-Mar-21,2000,,รายรับ,ออนไลน์,เน็ตแบงค์,ตติยภูมิ
15-Mar-21,,70,"รายจ่าย, เติมเงิน",ออนไลน์,เน็ตแบงค์,ตติยภูมิ
15-Mar-21,,307,รายจ่าย,ออนไลน์,เน็ตแบงค์,ทุติยภูมิ
15-Mar-21,,160,"ข้าว, ค่าเกี่ยวเนื่องการศึกษา, รายจ่าย",Seven-Eleven,Wallet,ปฐมภูมิ
15-Mar-21,,40,"ข้าว, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
15-Mar-21,,40,"ข้าว, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
16-Mar-21,,27,"ข้าวเช้า, รายจ่าย",Seven-Eleven,Wallet,ปฐมภูมิ
16-Mar-21,,20,"รายจ่าย, เครื่องดื่ม",Seven-Eleven,Wallet,ปฐมภูมิ
16-Mar-21,,7,"น้ำ, รายจ่าย",Seven-Eleven,Wallet,ปฐมภูมิ
16-Mar-21,,40,"ข้าวเที่ยง, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
16-Mar-21,,40,"ข้าวเย็น, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
17-Mar-21,,27,"ข้าวเย็น, รายจ่าย",Seven-Eleven,Wallet,ปฐมภูมิ
17-Mar-21,,7,"น้ำ, รายจ่าย",Seven-Eleven,Wallet,ปฐมภูมิ
17-Mar-21,,40,"ข้าวเย็น, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
17-Mar-21,100,,รายรับ,ออนไลน์,เน็ตแบงค์,ตติยภูมิ
18-Mar-21,,60,"รายจ่าย, เครื่องอุปโภค",Seven-Eleven,Wallet,ปฐมภูมิ
18-Mar-21,,35,"ข้าวเช้า, รายจ่าย",Seven-Eleven,Wallet,ปฐมภูมิ
18-Mar-21,,7,"น้ำ, รายจ่าย",Seven-Eleven,Wallet,ปฐมภูมิ
18-Mar-21,,12,"น้ำ, รายจ่าย",Seven-Eleven,Wallet,
18-Mar-21,,10,"ของกิน, รายจ่าย",Seven-Eleven,Wallet,ปฐมภูมิ
18-Mar-21,,45,"ข้าวเที่ยง, รายจ่าย",ร้านข้าว,เงินสด,ปฐมภูมิ
18-Mar-21,,20,"ข้าวเย็น, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
18-Mar-21,,10,"น้ำผลไม้, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
18-Mar-21,,25,"ผลไม้, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
18-Mar-21,,20,"ผลไม้, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
18-Mar-21,,50,"รายจ่าย, เครื่องอุปโภค",ตลาด,เงินสด,ปฐมภูมิ
19-Mar-21,,30,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย",ไม่ระบุ,เงินสด,ปฐมภูมิ
19-Mar-21,,40,"รายจ่าย, ไข่ไก่",LOTUS,เงินสด,ปฐมภูมิ
19-Mar-21,,40,"รายจ่าย, เครื่องอุปโภค",LOTUS,เงินสด,ทุติยภูมิ
19-Mar-21,,35,"นม, รายจ่าย",LOTUS,เงินสด,ปฐมภูมิ
19-Mar-21,,40,"ซักผ้า, รายจ่าย",ที่พัก,เงินสด,ปฐมภูมิ
19-Mar-21,,130,"ข้าวเที่ยง, ข้าวเย็น",ออนไลน์,Wallet,ปฐมภูมิ
20-Mar-21,,20,รายจ่าย,ไม่ระบุ,เงินสด,ปฐมภูมิ
20-Mar-21,,12,รายจ่าย,Seven-Eleven,เงินสด,ปฐมภูมิ
21-Mar-21,,85,รายจ่าย,ออนไลน์,เน็ตแบงค์,ปฐมภูมิ
22-Mar-21,4663,,รายรับ,ออนไลน์,เน็ตแบงค์,ตติยภูมิ
22-Mar-21,,348,"รายจ่าย, เครื่องอุปโภค",ออนไลน์,เน็ตแบงค์,ทุติยภูมิ
22-Mar-21,,828,"คอมพิวเตอร์, รายจ่าย",ออนไลน์,เน็ตแบงค์,ทุติยภูมิ
22-Mar-21,,328,"รายจ่าย, เครื่องอุปโภค",ออนไลน์,เน็ตแบงค์,ทุติยภูมิ
