วันที่,รายรับ,รายจ่าย,ชนิด,สถานที่,วิธีการชำระเงิน,เกณฑ์
1-Jan-21,3000,,เป็นหนี้,ออนไลน์,เน็ตแบงค์,ปฐมภูมิ
1-Jan-21,3500,,รายรับ,ที่บ้าน,เงินสด,ปฐมภูมิ
1-Jan-21,,2800,"ค่าเช่าหอพัก, รายจ่าย",ที่พัก,เงินสด,ปฐมภูมิ
1-Jan-21,,40,"ค่าน้ำ, รายจ่าย",ที่พัก,เงินสด,ปฐมภูมิ
1-Jan-21,,65,"ค่าไฟ, รายจ่าย",ที่พัก,เงินสด,ปฐมภูมิ
1-Jan-21,,853,"ดนตรี, รายจ่าย",ออนไลน์,เน็ตแบงค์,ตติยภูมิ
1-Jan-21,1600,,"รายรับ, สิ่งบันเทิง",ออนไลน์,เงินสด,ตติยภูมิ
3-Jan-21,,90,"ค่ารถ, รายจ่าย",ไม่ระบุ,เงินสด,ปฐมภูมิ
3-Jan-21,,35,"ข้าวเช้า, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
3-Jan-21,,30,"ข้าวเย็น, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
3-Jan-21,,10,รายจ่าย,ร้านค้า,เงินสด,ปฐมภูมิ
3-Jan-21,,40,รายจ่าย,ที่พัก,เงินสด,ทุติยภูมิ
4-Jan-21,,65,"ข้าวเช้า, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
4-Jan-21,,45,"รายจ่าย, ไข่ไก่",Seven-Eleven,เงินสด,ปฐมภูมิ
4-Jan-21,,15,"น้ำ, รายจ่าย",ที่พัก,เงินสด,ปฐมภูมิ
4-Jan-21,,30,"ข้าว, ข้าวเย็น, รายจ่าย",ตลาด,เงินสด,ปฐมภูมิ
5-Jan-21,,45,"ข้าว, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
5-Jan-21,,20,"ขนม, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
